timestamp,open,close,high,low,volume
2025-05-13 03:18:59,1746597600.0,162.303,162.364,162.388,162.272
2025-05-13 03:18:59,1746601200.0,162.364,162.53,162.577,162.315
2025-05-13 03:18:59,1746604800.0,162.531,162.585,162.598,162.491
2025-05-13 03:18:59,1746608400.0,162.582,162.484,162.623,162.438
2025-05-13 03:19:00,1746612000.0,162.487,162.673,162.788,162.453
2025-05-13 03:19:00,1746615600.0,162.673,162.777,163.01,162.673
2025-05-13 03:19:00,1746619200.0,162.775,162.748,162.83,162.689
2025-05-13 03:19:00,1746622800.0,162.754,162.804,162.834,162.63
2025-05-13 03:19:00,1746626400.0,162.806,162.85,162.975,162.746
2025-05-13 03:19:01,1746630000.0,162.851,162.831,162.961,162.75
2025-05-13 03:19:01,1746633600.0,162.833,162.781,162.87,162.612
2025-05-13 03:19:01,1746637200.0,162.778,162.889,162.896,162.691
2025-05-13 03:19:01,1746640800.0,162.887,162.798,162.893,162.629
2025-05-13 03:19:01,1746644400.0,162.802,162.754,162.848,162.726
2025-05-13 03:19:03,1746648000.0,162.752,162.584,162.757,162.531
2025-05-13 03:19:03,1746651600.0,162.599,162.656,162.856,162.371
2025-05-13 03:19:03,1746655200.0,162.657,162.6,162.755,162.549
2025-05-13 03:19:03,1746658800.0,162.592,162.511,162.64,162.467
2025-05-13 03:19:04,1746662400.0,162.489,162.601,162.62,162.473
2025-05-13 03:19:04,1746666000.0,162.608,162.597,162.637,162.519
2025-05-13 03:19:04,1746669600.0,162.601,162.6,162.665,162.539
2025-05-13 03:19:04,1746673200.0,162.597,162.691,162.768,162.527
2025-05-13 03:19:05,1746676800.0,162.702,162.61,162.727,162.525
2025-05-13 03:19:05,1746680400.0,162.61,162.664,162.733,162.581
2025-05-13 03:19:05,1746684000.0,162.664,162.651,162.742,162.569
2025-05-13 03:19:05,1746687600.0,162.65,162.716,162.758,162.619
2025-05-13 03:19:05,1746691200.0,162.714,162.687,162.795,162.627
2025-05-13 03:19:06,1746694800.0,162.676,162.926,162.954,162.574
2025-05-13 03:19:06,1746698400.0,162.918,163.038,163.121,162.814
2025-05-13 03:19:06,1746702000.0,163.034,163.451,163.5,163.003
2025-05-13 03:19:06,1746705600.0,163.455,163.395,163.609,163.384
2025-05-13 03:19:06,1746709200.0,163.396,163.416,163.518,163.372
2025-05-13 03:19:06,1746712800.0,163.41,163.379,163.511,163.24
2025-05-13 03:19:07,1746716400.0,163.381,163.486,163.656,163.33
2025-05-13 03:19:07,1746720000.0,163.482,163.412,163.55,163.289
2025-05-13 03:19:07,1746723600.0,163.414,163.546,163.671,163.409
2025-05-13 03:19:07,1746727200.0,163.555,163.615,163.724,163.455
2025-05-13 03:19:07,1746730800.0,163.613,163.583,163.662,163.502
2025-05-13 03:19:08,1746734400.0,163.581,163.581,163.686,163.502
2025-05-13 03:19:08,1746738000.0,163.582,163.735,163.764,163.551
2025-05-13 03:19:08,1746741600.0,163.733,163.802,163.898,163.71
2025-05-13 03:19:08,1746745200.0,163.808,163.808,163.844,163.709
2025-05-13 03:19:08,1746748800.0,163.69,163.772,163.772,163.66
